id,uid,start_date,end_date,app_name,category
131,67,2022-3-8 20:3:0,2022-3-8 20:37:18,Word,hr
132,68,2022-3-26 2:6:0,2022-3-26 2:48:57,VS Code,code
133,68,2022-2-19 18:12:0,2022-2-19 18:49:50,VS Code,code
134,69,2022-3-25 6:29:0,2022-3-25 6:43:54,Atom,code
135,69,2022-3-22 8:16:0,2022-3-22 8:43:22,Wireshark,cyber
136,69,2022-2-1 2:23:0,2022-2-1 2:43:54,Slack,pm
137,69,2022-2-23 18:16:0,2022-2-23 18:37:10,Slack,pm
138,70,2022-2-20 13:26:0,2022-2-20 13:51:59,Node.js,code
139,70,2022-2-21 21:9:0,2022-2-21 21:51:56,Node.js,code
140,70,2022-3-20 16:34:0,2022-3-20 16:41:10,Wireshark,cyber
141,73,2022-3-6 9:22:0,2022-3-6 9:58:38,Adobe Illustrator,design
142,73,2022-3-1 11:4:0,2022-3-1 11:39:4,Metasploit,cyber
143,73,2022-3-14 4:27:0,2022-3-14 4:49:22,Metasploit,cyber
144,74,2022-1-10 20:35:0,2022-1-10 20:56:48,Git,code
145,74,2022-3-19 0:9:0,2022-3-19 0:39:41,Git,code
146,74,2022-3-17 2:1:0,2022-3-17 2:45:51,Word,hr
147,74,2022-1-12 19:21:0,2022-1-12 19:39:29,Wireshark,cyber
148,74,2022-1-14 8:24:0,2022-1-14 8:43:58,Slack,pm
149,75,2022-1-3 14:32:0,2022-1-3 14:59:11,Jira,pm
150,76,2022-1-25 13:33:0,2022-1-25 13:49:19,Adobe Photoshop,design
151,76,2022-2-10 17:10:0,2022-2-10 17:47:50,Wireshark,cyber
152,77,2022-3-5 4:7:0,2022-3-5 4:43:57,Node.js,code
153,79,2022-1-10 4:27:0,2022-1-10 4:38:29,Node.js,code
154,80,2022-1-15 21:21:0,2022-1-15 21:59:42,Jira,pm
155,81,2022-2-1 6:25:0,2022-2-1 6:37:12,Adobe Illustrator,design
156,81,2022-1-26 21:16:0,2022-1-26 21:53:49,Adobe Illustrator,design
157,81,2022-3-2 13:34:0,2022-3-2 13:58:35,Adobe Photoshop,design
158,81,2022-1-21 23:8:0,2022-1-21 23:37:49,Git,code
159,81,2022-2-12 17:26:0,2022-2-12 17:40:49,Wireshark,cyber
160,81,2022-1-27 14:35:0,2022-1-27 14:55:34,Adobe Illustrator,design
161,82,2022-3-9 7:34:0,2022-3-9 7:53:19,Atom,code
162,85,2022-2-7 20:24:0,2022-2-7 20:45:19,Wireshark,cyber
163,85,2022-3-13 5:12:0,2022-3-13 5:54:41,Node.js,code
164,86,2022-1-22 14:25:0,2022-1-22 14:44:12,Wireshark,cyber
165,86,2022-2-10 10:9:0,2022-2-10 10:54:42,Jira,pm
166,86,2022-3-26 15:25:0,2022-3-26 15:37:42,Slack,pm
167,86,2022-1-26 12:5:0,2022-1-26 12:53:38,Adobe Photoshop,design
168,86,2022-2-22 20:35:0,2022-2-22 20:50:0,Git,code
169,86,2022-2-15 17:22:0,2022-2-15 17:41:21,VS Code,code
170,87,2022-1-18 4:23:0,2022-1-18 4:53:29,VS Code,code
171,88,2022-3-22 20:8:0,2022-3-22 20:49:59,Jira,pm
172,88,2022-2-28 21:1:0,2022-2-28 21:57:15,Node.js,code
173,89,2022-1-28 18:35:0,2022-1-28 18:45:24,Metasploit,cyber
174,90,2022-2-28 22:21:0,2022-2-28 22:39:23,Jira,pm
175,90,2022-2-28 11:13:0,2022-2-28 11:53:25,Word,hr
176,90,2022-1-9 21:25:0,2022-1-9 21:45:24,Git,code
177,90,2022-2-26 21:33:0,2022-2-26 21:57:39,Slack,pm
178,90,2022-3-9 11:31:0,2022-3-9 11:42:25,Word,hr
179,90,2022-3-28 16:20:0,2022-3-28 16:52:54,Wireshark,cyber
180,91,2022-1-15 22:7:0,2022-1-15 22:56:10,Adobe Illustrator,design
181,92,2022-3-24 10:8:0,2022-3-24 10:51:49,Excel,hr
182,92,2022-1-26 3:0:0,2022-1-26 3:52:16,Excel,hr
183,94,2022-3-14 7:15:0,2022-3-14 7:45:31,Atom,code
184,96,2022-2-14 10:24:0,2022-2-14 10:58:44,Metasploit,cyber
185,97,2022-3-28 21:3:0,2022-3-28 21:54:50,Git,code
186,98,2022-2-12 12:15:0,2022-2-12 12:44:52,Metasploit,cyber
187,99,2022-1-7 19:29:0,2022-1-7 19:51:44,Adobe Illustrator,design
188,99,2022-3-17 6:31:0,2022-3-17 6:38:32,Adobe Photoshop,design
189,100,2022-2-22 9:17:0,2022-2-22 9:59:40,Jira,pm
190,100,2022-2-24 0:16:0,2022-2-24 0:58:51,Jira,pm
191,100,2022-1-3 4:23:0,2022-1-3 4:55:27,Atom,code
192,100,2022-2-4 4:24:0,2022-2-4 4:52:55,VS Code,code
193,100,2022-2-20 18:21:0,2022-2-20 18:52:47,Jira,pm
194,102,2022-1-12 10:5:0,2022-1-12 10:37:22,Atom,code
195,102,2022-1-5 23:19:0,2022-1-5 23:46:28,Git,code
196,102,2022-3-25 21:2:0,2022-3-25 21:47:6,Word,hr
197,103,2022-1-4 5:22:0,2022-1-4 5:43:37,Git,code
198,103,2022-3-11 2:33:0,2022-3-11 2:54:37,Adobe Illustrator,design
199,103,2022-2-4 4:18:0,2022-2-4 4:48:17,Excel,hr
200,103,2022-1-7 15:9:0,2022-1-7 15:55:4,Node.js,code
201,103,2022-3-23 11:11:0,2022-3-23 11:38:51,VS Code,code
202,103,2022-3-25 4:7:0,2022-3-25 4:58:49,Excel,hr
203,103,2022-1-22 18:19:0,2022-1-22 18:49:38,Atom,code
204,104,2022-2-27 23:35:0,2022-2-27 23:56:57,Adobe Photoshop,design
205,104,2022-1-18 9:28:0,2022-1-18 9:59:38,Slack,pm
206,105,2022-3-5 22:27:0,2022-3-5 22:44:41,Word,hr
207,105,2022-3-3 11:1:0,2022-3-3 11:45:15,Excel,hr
208,105,2022-2-22 2:28:0,2022-2-22 2:53:19,Atom,code
209,105,2022-2-18 15:24:0,2022-2-18 15:51:14,Excel,hr
210,105,2022-1-17 3:15:0,2022-1-17 3:37:42,Word,hr
211,107,2022-3-17 19:28:0,2022-3-17 19:58:53,Excel,hr
212,107,2022-1-4 7:33:0,2022-1-4 7:38:26,Adobe Photoshop,design
213,107,2022-3-4 6:23:0,2022-3-4 6:50:52,Git,code
214,108,2022-2-2 14:15:0,2022-2-2 14:44:19,Adobe Illustrator,design
215,109,2022-1-1 19:15:0,2022-1-1 19:43:12,Excel,hr
216,109,2022-1-19 11:18:0,2022-1-19 11:51:30,VS Code,code
217,109,2022-2-19 6:33:0,2022-2-19 6:42:9,Excel,hr
218,111,2022-3-27 8:7:0,2022-3-27 8:41:23,VS Code,code
219,111,2022-3-2 3:19:0,2022-3-2 3:51:47,Node.js,code
220,111,2022-1-16 8:29:0,2022-1-16 8:43:57,Word,hr
221,112,2022-3-9 2:7:0,2022-3-9 2:59:31,Metasploit,cyber
222,113,2022-1-5 11:8:0,2022-1-5 11:38:3,Excel,hr
223,113,2022-3-10 5:30:0,2022-3-10 5:43:55,Jira,pm
224,114,2022-3-26 9:22:0,2022-3-26 9:43:13,Node.js,code
225,115,2022-1-10 15:6:0,2022-1-10 15:37:55,VS Code,code
226,116,2022-3-9 18:4:0,2022-3-9 18:58:5,Atom,code
227,117,2022-3-8 2:19:0,2022-3-8 2:59:38,Adobe Illustrator,design
228,117,2022-2-14 3:3:0,2022-2-14 3:58:58,Excel,hr
229,120,2022-1-28 2:6:0,2022-1-28 2:48:24,Word,hr
230,121,2022-2-18 23:35:0,2022-2-18 23:58:59,Atom,code
231,121,2022-3-4 1:7:0,2022-3-4 1:48:23,Word,hr
232,122,2022-3-15 9:31:0,2022-3-15 9:37:23,Adobe Photoshop,design
233,122,2022-3-15 2:22:0,2022-3-15 2:59:38,Adobe Photoshop,design
234,122,2022-1-25 23:4:0,2022-1-25 23:42:59,Adobe Photoshop,design
235,122,2022-2-10 5:27:0,2022-2-10 5:52:11,Slack,pm
236,122,2022-3-6 13:25:0,2022-3-6 13:55:40,Git,code
237,122,2022-1-4 12:9:0,2022-1-4 12:44:34,Node.js,code
238,122,2022-2-28 13:18:0,2022-2-28 13:48:55,Adobe Illustrator,design
239,123,2022-3-4 19:21:0,2022-3-4 19:46:33,Atom,code
240,124,2022-3-9 21:6:0,2022-3-9 21:54:4,Node.js,code
241,125,2022-1-4 9:29:0,2022-1-4 9:47:10,Word,hr
242,125,2022-2-24 10:10:0,2022-2-24 10:50:20,Wireshark,cyber
243,125,2022-3-21 6:30:0,2022-3-21 6:56:10,Wireshark,cyber
244,125,2022-3-5 1:7:0,2022-3-5 1:54:37,Git,code
245,125,2022-1-28 2:29:0,2022-1-28 2:53:18,Excel,hr
246,125,2022-1-21 21:10:0,2022-1-21 21:40:20,Jira,pm
247,126,2022-1-3 13:24:0,2022-1-3 13:41:44,Word,hr
248,127,2022-2-1 7:23:0,2022-2-1 7:54:27,Slack,pm
249,127,2022-1-1 17:13:0,2022-1-1 17:47:11,Adobe Photoshop,design
250,128,2022-2-14 16:5:0,2022-2-14 16:58:55,Adobe Photoshop,design
251,128,2022-2-25 2:10:0,2022-2-25 2:40:10,VS Code,code
252,132,2022-2-12 19:33:0,2022-2-12 19:47:50,Atom,code
253,134,2022-1-8 18:14:0,2022-1-8 18:56:42,Excel,hr
254,135,2022-2-5 19:25:0,2022-2-5 19:48:4,Excel,hr
255,135,2022-1-11 22:29:0,2022-1-11 22:51:48,Wireshark,cyber
256,135,2022-3-4 4:14:0,2022-3-4 4:43:51,Adobe Illustrator,design
257,136,2022-1-1 20:24:0,2022-1-1 20:48:4,Slack,pm
258,136,2022-1-12 5:7:0,2022-1-12 5:45:53,Node.js,code
259,136,2022-3-12 9:35:0,2022-3-12 9:48:49,Atom,code
260,136,2022-2-26 23:11:0,2022-2-26 23:53:6,VS Code,code
261,136,2022-2-7 0:13:0,2022-2-7 0:37:40,Slack,pm
262,136,2022-3-21 10:16:0,2022-3-21 10:48:0,Node.js,code
263,136,2022-1-13 10:13:0,2022-1-13 10:52:36,Adobe Photoshop,design
264,136,2022-3-8 8:6:0,2022-3-8 8:53:59,Word,hr
265,136,2022-3-19 10:18:0,2022-3-19 10:49:12,Metasploit,cyber
266,136,2022-2-2 3:10:0,2022-2-2 3:57:32,Node.js,code
267,138,2022-3-18 23:9:0,2022-3-18 23:39:41,VS Code,code
268,140,2022-2-11 13:3:0,2022-2-11 13:55:11,Node.js,code
269,140,2022-2-17 9:29:0,2022-2-17 9:56:18,Node.js,code
270,140,2022-2-16 3:23:0,2022-2-16 3:55:27,Slack,pm
271,140,2022-2-3 13:12:0,2022-2-3 13:37:30,Wireshark,cyber
272,140,2022-2-2 22:29:0,2022-2-2 22:58:51,Node.js,code
273,140,2022-2-20 15:21:0,2022-2-20 15:59:2,Git,code
274,140,2022-1-28 21:9:0,2022-1-28 21:56:7,Word,hr
275,141,2022-2-16 5:16:0,2022-2-16 5:59:31,Word,hr
276,142,2022-1-7 3:14:0,2022-1-7 3:51:7,Jira,pm
277,142,2022-1-22 10:22:0,2022-1-22 10:43:10,Wireshark,cyber
278,142,2022-3-11 5:35:0,2022-3-11 5:40:19,Git,code
279,142,2022-2-4 22:16:0,2022-2-4 22:48:24,Wireshark,cyber
280,142,2022-3-1 7:15:0,2022-3-1 7:42:9,Word,hr
281,143,2022-3-18 12:34:0,2022-3-18 12:52:39,Adobe Photoshop,design
282,145,2022-2-19 17:27:0,2022-2-19 17:53:51,Jira,pm
283,145,2022-1-21 1:27:0,2022-1-21 1:53:19,Git,code
284,145,2022-1-2 7:24:0,2022-1-2 7:46:9,Jira,pm
285,145,2022-2-22 1:33:0,2022-2-22 1:42:39,Wireshark,cyber
286,147,2022-2-25 20:7:0,2022-2-25 20:40:46,Metasploit,cyber
287,148,2022-2-26 20:25:0,2022-2-26 20:49:35,Atom,code
288,149,2022-3-1 14:7:0,2022-3-1 14:52:10,Git,code
289,149,2022-1-15 16:13:0,2022-1-15 16:50:37,Git,code
290,150,2022-3-1 2:10:0,2022-3-1 2:49:24,VS Code,code
291,151,2022-3-24 15:15:0,2022-3-24 15:39:47,Adobe Illustrator,design
292,151,2022-2-23 10:22:0,2022-2-23 10:37:22,Metasploit,cyber
293,151,2022-1-13 12:29:0,2022-1-13 12:42:51,Jira,pm
294,151,2022-2-15 11:30:0,2022-2-15 11:37:47,Adobe Photoshop,design
295,151,2022-1-14 2:19:0,2022-1-14 2:38:44,Adobe Illustrator,design
296,151,2022-2-21 17:17:0,2022-2-21 17:50:48,Atom,code
297,151,2022-1-3 13:11:0,2022-1-3 13:51:23,Slack,pm
298,151,2022-1-7 8:27:0,2022-1-7 8:57:30,Adobe Photoshop,design
299,151,2022-3-10 22:0:0,2022-3-10 22:57:47,Adobe Photoshop,design
300,151,2022-2-10 13:15:0,2022-2-10 13:47:39,Jira,pm
301,151,2022-2-6 9:30:0,2022-2-6 9:45:0,Git,code
302,151,2022-2-13 2:21:0,2022-2-13 2:38:15,Jira,pm
303,151,2022-1-27 1:22:0,2022-1-27 1:46:14,Slack,pm
304,151,2022-3-9 10:14:0,2022-3-9 10:43:33,Wireshark,cyber
305,151,2022-1-18 5:17:0,2022-1-18 5:43:36,Excel,hr
306,151,2022-1-25 22:30:0,2022-1-25 22:54:42,VS Code,code
307,151,2022-2-28 19:21:0,2022-2-28 19:48:40,Wireshark,cyber
308,151,2022-2-12 23:18:0,2022-2-12 23:39:33,Metasploit,cyber
309,152,2022-2-15 3:29:0,2022-2-15 3:55:27,Excel,hr
310,153,2022-1-15 7:13:0,2022-1-15 7:49:4,Excel,hr
311,153,2022-1-21 22:19:0,2022-1-21 22:45:9,Node.js,code
312,154,2022-1-2 2:22:0,2022-1-2 2:49:2,Excel,hr
313,154,2022-1-25 21:18:0,2022-1-25 21:55:3,Word,hr
314,154,2022-1-20 22:30:0,2022-1-20 22:45:18,Adobe Photoshop,design
315,154,2022-1-10 5:23:0,2022-1-10 5:45:16,Node.js,code
316,154,2022-1-23 16:21:0,2022-1-23 16:41:21,Git,code
317,155,2022-3-23 7:33:0,2022-3-23 7:48:13,Excel,hr
318,155,2022-3-7 3:8:0,2022-3-7 3:45:33,Metasploit,cyber
319,156,2022-3-20 18:15:0,2022-3-20 18:39:21,Metasploit,cyber
320,157,2022-2-2 13:2:0,2022-2-2 13:45:12,Slack,pm
321,157,2022-1-6 17:31:0,2022-1-6 17:38:2,Metasploit,cyber
322,157,2022-3-27 11:34:0,2022-3-27 11:55:19,Excel,hr
323,157,2022-2-8 8:23:0,2022-2-8 8:49:33,Node.js,code
324,157,2022-1-8 22:31:0,2022-1-8 22:58:20,Slack,pm
325,158,2022-3-2 13:19:0,2022-3-2 13:49:46,Adobe Photoshop,design
326,158,2022-2-8 21:14:0,2022-2-8 21:40:36,Adobe Illustrator,design
327,158,2022-3-15 16:7:0,2022-3-15 16:37:53,Excel,hr
328,158,2022-2-13 21:5:0,2022-2-13 21:40:23,Adobe Illustrator,design
329,158,2022-3-19 23:30:0,2022-3-19 23:54:49,VS Code,code
330,159,2022-2-22 7:30:0,2022-2-22 7:53:35,Git,code
331,159,2022-3-2 15:27:0,2022-3-2 15:39:5,Wireshark,cyber
332,159,2022-3-6 6:4:0,2022-3-6 6:48:54,Jira,pm
333,159,2022-2-16 23:34:0,2022-2-16 23:48:59,Adobe Illustrator,design
334,159,2022-3-23 4:17:0,2022-3-23 4:56:14,Git,code
335,159,2022-1-18 15:32:0,2022-1-18 15:38:39,Adobe Illustrator,design
336,159,2022-1-28 7:2:0,2022-1-28 7:57:6,Atom,code
337,159,2022-2-17 2:29:0,2022-2-17 2:51:51,Wireshark,cyber
338,159,2022-3-4 14:9:0,2022-3-4 14:39:38,Adobe Illustrator,design
339,159,2022-2-11 19:15:0,2022-2-11 19:42:20,Adobe Illustrator,design
340,159,2022-1-18 0:23:0,2022-1-18 0:54:45,Node.js,code
341,159,2022-3-28 1:25:0,2022-3-28 1:49:20,Slack,pm
342,160,2022-2-20 9:35:0,2022-2-20 9:59:27,Excel,hr
343,162,2022-2-7 6:14:0,2022-2-7 6:58:38,VS Code,code
344,162,2022-2-27 10:18:0,2022-2-27 10:44:3,Node.js,code
345,162,2022-1-8 20:9:0,2022-1-8 20:42:34,Adobe Illustrator,design
346,164,2022-2-18 17:23:0,2022-2-18 17:50:32,Excel,hr
347,166,2022-1-13 22:20:0,2022-1-13 22:50:54,Word,hr
348,167,2022-2-28 20:17:0,2022-2-28 20:57:35,Slack,pm
349,167,2022-1-2 21:34:0,2022-1-2 21:38:41,VS Code,code
350,168,2022-2-9 7:35:0,2022-2-9 7:48:7,Node.js,code
351,168,2022-2-20 9:25:0,2022-2-20 9:42:20,Adobe Illustrator,design
352,168,2022-3-8 14:6:0,2022-3-8 14:52:50,Wireshark,cyber
353,168,2022-3-14 23:24:0,2022-3-14 23:38:22,Node.js,code
354,168,2022-3-9 10:22:0,2022-3-9 10:59:5,Git,code
355,169,2022-3-10 13:29:0,2022-3-10 13:47:9,Git,code
356,169,2022-2-25 2:22:0,2022-2-25 2:46:13,Atom,code
357,169,2022-3-14 10:23:0,2022-3-14 10:48:40,Slack,pm
358,169,2022-3-8 14:7:0,2022-3-8 14:51:16,Wireshark,cyber
359,169,2022-1-7 20:27:0,2022-1-7 20:58:53,Atom,code
360,169,2022-2-17 0:30:0,2022-2-17 0:40:56,Git,code
361,170,2022-1-23 5:29:0,2022-1-23 5:42:49,VS Code,code
362,170,2022-3-7 21:23:0,2022-3-7 21:37:25,Atom,code
363,170,2022-3-6 19:15:0,2022-3-6 19:40:22,Adobe Illustrator,design
364,171,2022-2-18 3:31:0,2022-2-18 3:38:4,Atom,code
365,173,2022-1-15 11:35:0,2022-1-15 11:59:16,Excel,hr
366,173,2022-1-2 11:2:0,2022-1-2 11:40:39,Git,code
367,173,2022-1-10 6:12:0,2022-1-10 6:45:9,Git,code
